Frames,Total Rotations,Average time per rotation (s),Rotations per 20 seconds,Mouse number,Hemisphere,Brain region,Stimulation,Time stim is OFF (s),Session #,Control #,File name path,Video file,Time stim is ON (s)
375,-0.4461254728275164,-33.62282791191209,-0.594833963770022,2,Left,snr,0hz,15.0,,1.0,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,
500,2.6438213957315444,7.564807529090295,2.6438213957315444,2,Left,snr,0hz,,1.0,,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,20.0
1500,-0.7618567431268917,-78.754963503692,-0.2539522477089639,2,Left,snr,0hz,60.0,,2.0,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,
500,2.753861587204183,7.262529131068167,2.753861587204183,2,Left,snr,0hz,,2.0,,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,20.0
1500,-2.380538292691492,-25.204383472513943,-0.7935127642304973,2,Left,snr,0hz,60.0,,3.0,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,
500,2.2452625075635715,8.907644399096496,2.2452625075635715,2,Left,snr,0hz,,3.0,,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,20.0
1500,-0.2039198545723435,-294.233242397268,-0.0679732848574478,2,Left,snr,0hz,60.0,,4.0,/Volumes/Data/inference/2_left_snr_0hz_2.h5,2_left_snr_0hz_2,
375,-0.2947472617596494,-50.89105802187807,-0.3929963490128658,2,Right,snr,0hz,15.0,,1.0,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,
500,0.2290725013329826,87.30860266343252,0.2290725013329826,2,Right,snr,0hz,,1.0,,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,20.0
1500,0.0342634415577986,1751.1375761476472,0.0114211471859328,2,Right,snr,0hz,60.0,,2.0,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,
500,-0.8873773375315774,-22.53832631745376,-0.8873773375315774,2,Right,snr,0hz,,2.0,,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,20.0
1500,-0.9990596892090646,-60.056471748450576,-0.3330198964030215,2,Right,snr,0hz,60.0,,3.0,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,
500,-0.1133857120585508,-176.38906734273783,-0.1133857120585508,2,Right,snr,0hz,,3.0,,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,20.0
1459,0.9371719159045212,64.02240504837405,0.3123906386348404,2,Right,snr,0hz,60.0,,4.0,/Volumes/Data/inference/2_right_snr_0hz_2.h5,2_right_snr_0hz_2,
375,-0.7294111627482199,-20.56453310021215,-0.9725482169976264,2,Left,snr,0hz,15.0,,1.0,/Volumes/Data/inference/2_left_snr_0hz_3.h5,2_left_snr_0hz_3,
500,2.5362470199855016,7.885667224998585,2.5362470199855016,2,Left,snr,0hz,,1.0,,/Volumes/Data/inference/2_left_snr_0hz_3.h5,2_left_snr_0hz_3,20.0
1500,-0.1904131592784431,-315.10427234843246,-0.0634710530928143,2,Left,snr,0hz,60.0,,2.0,/Volumes/Data/inference/2_left_snr_0hz_3.h5,2_left_snr_0hz_3,
1,0.0,0.0,0.0,2,Left,snr,0hz,,2.0,,/Volumes/Data/inference/2_left_snr_0hz_3.h5,2_left_snr_0hz_3,20.0
375,-0.063803391846762,-235.09721922034825,-0.085071189129016,2,Right,snr,0hz,15.0,,1.0,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,
500,0.5552776073106079,36.018020061832814,0.5552776073106079,2,Right,snr,0hz,,1.0,,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,20.0
1500,0.3096553136182721,193.7638314644426,0.1032184378727573,2,Right,snr,0hz,60.0,,2.0,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,
500,-0.7765602520689019,-25.7546017153418,-0.7765602520689019,2,Right,snr,0hz,,2.0,,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,20.0
1500,1.3863327045977516,43.27965415589699,0.4621109015325839,2,Right,snr,0hz,60.0,,3.0,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,
500,-1.9849447587569704,-10.075847154821869,-1.9849447587569704,2,Right,snr,0hz,,3.0,,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,20.0
1500,-4.217128969436494,-14.22768913041267,-1.4057096564788316,2,Right,snr,0hz,60.0,,4.0,/Volumes/Data/inference/2_right_snr_0hz.h5,2_right_snr_0hz,
375,-0.221265487527369,-67.79186473057439,-0.2950206500364921,2,Right,snr,50hz,15.0,,1.0,/Volumes/Data/inference/2_right_snr_50hz.h5,2_right_snr_50hz,
