Video,Start Time (s),End Time (s),State
2_left_snr_0hz_2,0,15,OFF
2_left_snr_0hz_2,15,35,ON
2_left_snr_0hz_2,35,95,OFF
2_left_snr_0hz_2,95,115,ON
2_left_snr_0hz_2,115,175,OFF
2_left_snr_0hz_2,175,195,ON
2_left_snr_0hz_2,195,255,OFF
2_right_snr_0hz_2,0,15,OFF
2_right_snr_0hz_2,15,35,ON
2_right_snr_0hz_2,35,95,OFF
2_right_snr_0hz_2,95,115,ON
2_right_snr_0hz_2,115,175,OFF
2_right_snr_0hz_2,175,195,ON
2_right_snr_0hz_2,195,255,OFF
2_left_snr_0hz_3,0,15,OFF
2_left_snr_0hz_3,15,35,ON
2_left_snr_0hz_3,35,95,OFF
2_left_snr_0hz_3,95,115,ON
2_left_snr_0hz_3,115,175,OFF
2_left_snr_0hz_3,175,195,ON
2_left_snr_0hz_3,195,255,OFF
2_right_snr_0hz,0,15,OFF
2_right_snr_0hz,15,35,ON
2_right_snr_0hz,35,95,OFF
2_right_snr_0hz,95,115,ON
2_right_snr_0hz,115,175,OFF
2_right_snr_0hz,175,195,ON
2_right_snr_0hz,195,255,OFF
2_right_snr_50hz,0,15,OFF
2_right_snr_50hz,15,35,ON
2_right_snr_50hz,35,95,OFF
2_right_snr_50hz,95,115,ON
2_right_snr_50hz,115,175,OFF
2_right_snr_50hz,175,195,ON
2_right_snr_50hz,195,255,OFF
2_left_snr_50hz,0,15,OFF
2_left_snr_50hz,15,35,ON
2_left_snr_50hz,35,95,OFF
2_left_snr_50hz,95,115,ON
2_left_snr_50hz,115,175,OFF
2_left_snr_50hz,175,195,ON
2_left_snr_50hz,195,255,OFF
2_left_snr_50hz_2,0,15,OFF
2_left_snr_50hz_2,15,35,ON
2_left_snr_50hz_2,35,95,OFF
2_left_snr_50hz_2,95,115,ON
2_left_snr_50hz_2,115,175,OFF
2_left_snr_50hz_2,175,195,ON
2_left_snr_50hz_2,195,255,OFF
2_right_snr_50hz_2,0,15,OFF
2_right_snr_50hz_2,15,35,ON
2_right_snr_50hz_2,35,95,OFF
2_right_snr_50hz_2,95,115,ON
2_right_snr_50hz_2,115,175,OFF
2_right_snr_50hz_2,175,195,ON
2_right_snr_50hz_2,195,255,OFF
2_left_snr_0hz,0,15,OFF
2_left_snr_0hz,15,35,ON
2_left_snr_0hz,35,95,OFF
2_left_snr_0hz,95,115,ON
2_left_snr_0hz,115,175,OFF
2_left_snr_0hz,175,195,ON
2_left_snr_0hz,195,255,OFF
6_left_snr_0hz_2,0,15,OFF
6_left_snr_0hz_2,15,35,ON
6_left_snr_0hz_2,35,95,OFF
6_left_snr_0hz_2,95,115,ON
6_left_snr_0hz_2,115,175,OFF
6_left_snr_0hz_2,175,195,ON
6_left_snr_0hz_2,195,255,OFF
6_right_snr_0hz,0,15,OFF
6_right_snr_0hz,15,35,ON
6_right_snr_0hz,35,95,OFF
6_right_snr_0hz,95,115,ON
6_right_snr_0hz,115,175,OFF
6_right_snr_0hz,175,195,ON
6_right_snr_0hz,195,255,OFF
6_left_snr_50hz_2,0,15,OFF
6_left_snr_50hz_2,15,35,ON
6_left_snr_50hz_2,35,95,OFF
6_left_snr_50hz_2,95,115,ON
6_left_snr_50hz_2,115,175,OFF
6_left_snr_50hz_2,175,195,ON
6_left_snr_50hz_2,195,255,OFF
6_left_snr_0hz,0,15,OFF
6_left_snr_0hz,15,35,ON
6_left_snr_0hz,35,95,OFF
6_left_snr_0hz,95,115,ON
6_left_snr_0hz,115,175,OFF
6_left_snr_0hz,175,195,ON
6_left_snr_0hz,195,255,OFF
6_left_snr_50hz,0,15,OFF
6_left_snr_50hz,15,35,ON
6_left_snr_50hz,35,95,OFF
6_left_snr_50hz,95,115,ON
6_left_snr_50hz,115,175,OFF
6_left_snr_50hz,175,195,ON
6_left_snr_50hz,195,255,OFF
6_right_snr_50hz,0,15,OFF
6_right_snr_50hz,15,35,ON
6_right_snr_50hz,35,95,OFF
6_right_snr_50hz,95,115,ON
6_right_snr_50hz,115,175,OFF
6_right_snr_50hz,175,195,ON
6_right_snr_50hz,195,255,OFF
6_right_snr_0hz_2,0,15,OFF
6_right_snr_0hz_2,15,35,ON
6_right_snr_0hz_2,35,95,OFF
6_right_snr_0hz_2,95,115,ON
6_right_snr_0hz_2,115,175,OFF
6_right_snr_0hz_2,175,195,ON
6_right_snr_0hz_2,195,255,OFF
6_right_snr_50hz_2,0,15,OFF
6_right_snr_50hz_2,15,35,ON
