Frames,Total Rotations,Average time per rotation (s),Rotations per 20 seconds,Mouse number,Hemisphere,Brain region,Stimulation,Time stim is ON (s),Session #,Control #,File name path,Video file,Time stim is OFF (s)
500,0.8221036205553126,24.327833499249703,0.8221036205553125,38,Right,VLSD1,0hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,
500,-0.2821931767417786,70.87343581769532,0.2821931767417786,38,Right,VLSD1,0hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,
500,-0.5880645441805961,34.00987221201684,0.5880645441805961,38,Right,VLSD1,0hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,
375,-0.6202466933391303,24.18392578483042,0.8269955911188404,38,Right,VLSD1,0hz,,,1.0,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,15.0
1000,0.0120786209870398,3311.636323626634,0.0060393104935199,38,Right,VLSD1,0hz,,,2.0,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,40.0
1000,0.8475458436561664,47.19508720312628,0.4237729218280832,38,Right,VLSD1,0hz,,,3.0,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,40.0
1375,0.1954147868219603,281.4526008725723,0.0710599224807128,38,Right,VLSD1,0hz,,,4.0,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_0hz_2.h5,38_right_VLSD1_0hz_2,55.0
500,1.2023687777017604,16.6338317917973,1.2023687777017604,49,Left,M2,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,
500,-1.8994475338351755,10.529377434088948,1.899447533835175,49,Left,M2,50hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,
500,-0.0160258659976297,1247.9824805073251,0.0160258659976297,49,Left,M2,50hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,
375,-0.9249430536412352,16.217214606833696,1.23325740485498,49,Left,M2,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,15.0
1000,0.3361127764679975,119.00767480586548,0.1680563882339987,49,Left,M2,50hz,,,2.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,40.0
1000,-1.7086441269109205,23.410375144832827,0.8543220634554602,49,Left,M2,50hz,,,3.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,40.0
1001,-0.3609159046679926,152.39007006519878,0.1312421471519973,49,Left,M2,50hz,,,4.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz_2.h5,49_left_M2_50hz_2,55.0
500,-1.0019756784394351,19.96056434338781,1.0019756784394351,49,Left,M2,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,
500,0.794856062128874,25.16178834496616,0.794856062128874,49,Left,M2,50hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,
375,0.6694136384978736,22.40767014197553,0.8925515179971648,49,Left,M2,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,15.0
1000,-0.8383660736404298,47.711854352965815,0.4191830368202149,49,Left,M2,50hz,,,2.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,40.0
1000,-0.7332252303168514,54.55349645117183,0.3666126151584257,49,Left,M2,50hz,,,3.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,40.0
500,-1.266009251426791,15.797672866497631,1.266009251426791,49,Right,M2,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,
375,-0.441289816651069,33.99126704040987,0.5883864222014255,49,Right,M2,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,15.0
500,-0.0595403130828853,335.9068665318947,0.0595403130828853,49,Right,M2,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,
500,-1.1763332617706326,17.001984599071637,1.1763332617706326,49,Right,M2,50hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,
375,-1.4521217253233347,10.329712542975724,1.9361623004311128,49,Right,M2,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,15.0
1000,0.3489668394214431,114.62407163476206,0.1744834197107215,49,Right,M2,50hz,,,2.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,40.0
500,-0.0188039780651707,1063.6047293122797,0.0188039780651707,38,Right,VLSD1,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_50hz.h5,38_right_VLSD1_50hz,
750,-0.924130182132566,32.462958769261924,0.6160867880883772,38,Right,VLSD1,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/38_right_VLSD1_50hz.h5,38_right_VLSD1_50hz,30.0
500,0.1372940158575607,145.67277295428173,0.1372940158575607,38,Left,VLSD1,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/38_left_VLSD1_50hz.h5,38_left_VLSD1_50hz,
750,-0.4270255346574751,70.25341007783888,0.2846836897716501,38,Left,VLSD1,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/38_left_VLSD1_50hz.h5,38_left_VLSD1_50hz,30.0
500,-0.125248549180142,159.68248838742613,0.125248549180142,36,Right,VMS,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/36_right_VMS_50hz.h5,36_right_VMS_50hz,
750,-0.7824828689474909,38.339497502804974,0.5216552459649939,36,Right,VMS,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/36_right_VMS_50hz.h5,36_right_VMS_50hz,30.0
500,0.7170919106819589,27.890427575706266,0.7170919106819589,39,Right,SNr,50hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/39_right_SNr_50hz_2.h5,39_right_SNr_50hz_2,
375,-1.6220730534246524,9.24742567440522,2.162764071232869,39,Right,SNr,50hz,,,1.0,/Users/Carolina/SLEAP_project/inference/39_right_SNr_50hz_2.h5,39_right_SNr_50hz_2,15.0
500,-0.2565125333816748,77.96889975056787,0.2565125333816748,49,Left,M2,50hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,
999,-1.30265161671995,42.221572747507786,0.4736914969890727,49,Left,M2,50hz,,,4.0,/Users/Carolina/SLEAP_project/inference/49_left_M2_50hz.h5,49_left_M2_50hz,55.0
500,-2.425407953891954,8.246035462985436,2.425407953891954,49,Right,M2,50hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,
500,0.9655179415564336,20.71427069263945,0.9655179415564336,49,Right,M2,50hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,
1000,0.3568853250150297,112.08082035403235,0.1784426625075148,49,Right,M2,50hz,,2.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,40.0
1000,-1.9938858142954428,20.061329346552554,0.9969429071477214,49,Right,M2,50hz,,3.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,40.0
1002,1.77709059001184,30.94946330205573,0.6462147600043054,49,Right,M2,50hz,,4.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,55.0
500,-0.8912404303152871,22.440633660352187,0.8912404303152871,49,Right,M2,50hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,
500,-0.4071447013401918,49.1225845115172,0.4071447013401918,49,Right,M2,50hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,
1000,0.5456825329221898,73.30269449123763,0.2728412664610949,49,Right,M2,50hz,,,2.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,40.0
1000,1.463624693486483,27.32941045475017,0.7318123467432415,49,Right,M2,50hz,,,3.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,40.0
1003,-1.6088424363931924,34.18606990707094,0.5850336132338881,49,Right,M2,50hz,,,4.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz_2.h5,49_right_M2_50hz_2,55.0
500,0.9655179415564336,20.71427069263945,0.9655179415564336,49,Right,M2,50hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,
1000,-1.9938858142954428,20.061329346552554,0.9969429071477214,49,Right,M2,50hz,,,3.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,40.0
1002,1.77709059001184,30.94946330205573,0.6462147600043054,49,Right,M2,50hz,,,4.0,/Users/Carolina/SLEAP_project/inference/49_right_M2_50hz.h5,49_right_M2_50hz,55.0
750,1.648664967632527,18.196541194831003,1.0991099784216845,16,Right,SNr,50Hz,30.0,1.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,
750,0.197443286133673,151.9423657671976,0.1316288574224486,16,Right,SNr,50Hz,30.0,2.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,
750,0.8978824255053901,33.41194698527921,0.5985882836702601,16,Right,SNr,50Hz,30.0,3.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,
750,0.8525662920863094,35.187879556658515,0.5683775280575396,16,Right,SNr,50Hz,,,1.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,30.0
750,1.6895413233665384,17.756298461065597,1.126360882244359,16,Right,SNr,50Hz,,,2.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,30.0
750,0.8889777732404085,33.74662550971004,0.592651848826939,16,Right,SNr,50Hz,,,3.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,30.0
2250,2.8526229350969983,31.54991109855173,0.633916207799333,16,Right,SNr,50Hz,,,4.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz_2.h5,16_right_SNr_50Hz_2,90.0
500,0.0001632778029483,122490.62419299327,0.0001632778029483,16,Right,SNr,50Hz,20.0,1.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,
500,1.1684941639323796,17.116046119300425,1.1684941639323796,16,Right,SNr,50Hz,20.0,2.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,
500,-0.0221200264364356,904.1580514142776,0.0221200264364356,16,Right,SNr,50Hz,20.0,3.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,
750,-0.2497963322240556,120.09784024006969,0.1665308881493704,16,Right,SNr,50Hz,,,1.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,30.0
1000,-0.0410535368385104,974.3374890535084,0.0205267684192552,16,Right,SNr,50Hz,,,2.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,40.0
1000,1.3815654766974836,28.952663246635726,0.6907827383487418,16,Right,SNr,50Hz,,,3.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,40.0
2500,-1.6679367918588617,59.95431031205519,0.3335873583717723,16,Right,SNr,50Hz,,,4.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_50Hz.h5,16_right_SNr_50Hz,100.0
750,-6.226587340713615,4.818048532595026,4.151058227142411,16,Right,SNr,0Hz,30.0,1.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_0Hz_3.h5,16_right_SNr_0Hz_3,
750,-6.108457335055683,4.9112236288913245,4.072304890037122,16,Right,SNr,0Hz,30.0,2.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_0Hz_3.h5,16_right_SNr_0Hz_3,
750,-6.021397019275309,4.982232512482723,4.014264679516872,16,Right,SNr,0Hz,30.0,3.0,,/Users/Carolina/SLEAP_project/inference/16_right_SNr_0Hz_3.h5,16_right_SNr_0Hz_3,
750,-0.0483898101239798,619.9652348942232,0.0322598734159865,16,Right,SNr,0Hz,,,1.0,/Users/Carolina/SLEAP_project/inference/16_right_SNr_0Hz_3.h5,16_right_SNr_0Hz_3,30.0
